i;t;RTFR ;Pop;RoadDensity;Cars            ;Buses;Trucks;Alco;BlackIce;SnowStorm;Heat
62;2;18,40;3482,7;111,42;262,90;1,46;4,98;10,01;0,0000;0,0000;0,0000
62;3;18,00;3487,7;186,71;309,10;1,42;4,95;7,88;0,0000;0,0000;0,0000
62;4;18,10;3493,6;190,37;300,28;1,34;4,50;6,29;0,0000;0,0000;0,0000
62;5;15,38;3499;194,70;300,30;1,26;4,08;5,02;0,0000;0,0000;0,0000
63;1;28,90;207,5;33,00;183,20;2,17;5,13;8,23;1,0000;1,0000;0,0000
63;2;40,10;209,4;44,37;186,30;2,77;5,01;8,07;0,0000;0,0000;0,0000
63;3;28,40;211;45,49;240,10;2,28;4,55;7,52;0,0000;0,0000;0,0000
63;4;24,00;212,7;46,66;251,62;2,34;4,70;6,52;0,0000;0,0000;0,0000
63;5;27,04;214,4;48,48;253,77;2,07;4,27;6,00;0,0000;0,0000;0,0000
64;1;27,30;971,5;20,00;191,70;1,58;4,38;8,50;0,0000;0,0000;1,0000
64;2;24,40;971,6;23,06;208,50;1,59;4,28;8,32;0,0000;1,0000;0,0000
64;3;24,40;972,8;24,45;231,10;1,59;4,37;7,01;0,0000;0,0000;0,0000
64;4;21,10;976,2;24,49;239,22;1,64;4,69;6,50;0,0000;0,0000;0,0000
64;5;16,63;980,4;25,84;243,28;1,72;4,55;6,02;0,0000;0,0000;1,0000
66;1;25,40;532,2;46,00;247,70;1,51;5,00;9,49;0,0000;0,0000;0,0000
66;2;28,00;532,6;75,25;264,40;1,44;4,82;8,94;0,0000;0,0000;0,0000
66;3;22,50;533,6;79,66;292,50;1,46;4,71;7,00;0,0000;0,0000;0,0000
66;4;22,60;534,9;87,76;311,91;1,43;4,64;6,95;0,0000;0,0000;0,0000
66;5;21,63;536,3;87,02;318,01;1,46;4,68;7,08;0,0000;0,0000;1,0000
67;1;17,90;2412,3;208,00;229,60;1,62;6,51;8,48;1,0000;1,0000;0,0000
67;2;16,90;2403;221,29;245,10;1,56;6,51;8,91;0,0000;0,0000;0,0000
67;3;16,20;2394,7;227,80;260,80;1,60;6,33;7,75;0,0000;1,0000;0,0000
67;4;14,60;2387,7;224,33;273,40;1,56;6,06;5,81;0,0000;0,0000;0,0000
67;5;13,15;2380,8;220,66;276,22;1,49;5,61;5,00;1,0000;1,0000;0,0000
